source_skill_id,target_skill_id,relation_type,discount_weight
sk_deep_learning,sk_machine_learning,child_of,0.60
sk_machine_learning,sk_deep_learning,parent_of,0.60
sk_nlp,sk_machine_learning,child_of,0.60
sk_computer_vision,sk_machine_learning,child_of,0.60
sk_pytorch,sk_deep_learning,child_of,0.60
sk_tensorflow,sk_deep_learning,child_of,0.60
sk_pytorch,sk_tensorflow,related_to,0.40
sk_tensorflow,sk_pytorch,related_to,0.40
sk_scikit_learn,sk_machine_learning,child_of,0.60
sk_scikit_learn,sk_pytorch,related_to,0.40
sk_pandas,sk_python,child_of,0.60
sk_numpy,sk_python,child_of,0.60
sk_pandas,sk_numpy,related_to,0.40
sk_spacy,sk_nlp,child_of,0.60
sk_transformers,sk_nlp,child_of,0.60
sk_transformers,sk_deep_learning,child_of,0.60
sk_fastapi,sk_python,child_of,0.60
sk_postgresql,sk_sql,child_of,0.60
sk_mysql,sk_sql,child_of,0.60
sk_postgresql,sk_mysql,related_to,0.40
sk_mysql,sk_postgresql,related_to,0.40
sk_kubernetes,sk_docker,related_to,0.50
sk_docker,sk_kubernetes,related_to,0.50
sk_aws,sk_gcp,related_to,0.40
sk_aws,sk_azure,related_to,0.40
sk_gcp,sk_azure,related_to,0.40
sk_react,sk_javascript,child_of,0.60
sk_typescript,sk_javascript,child_of,0.60
sk_cpp,sk_c_lang,child_of,0.60
